--- algorithm has started ---
value;a;b;c;k
101;86;29;0.0;-53.0
85;77;24;-0.7500000000000001;-43.0
73;83;28;-0.39999999999999997;-32.5
77;88;28;-0.2;-36.5
57;85;17;-0.44999999999999996;-13.0
61;55;24;-0.3;-16.0
1;90;89;0.09999999999999999;-11.0
109;85;34;-0.15;-58.0
89;80;26;-0.6;-46.0
113;86;45;-0.49999999999999994;-61.0
2;123;18;-0.05;-101.0
105;88;46;-0.49999999999999994;-56.0
62;58;21;0.7500000000000001;-16.0
81;73;17;-0.25;-38.5
102;88;45;-0.44999999999999996;-54.0
117;86;46;-0.44999999999999996;-63.0
93;79;22;-0.09999999999999999;-48.0
86;85;40;-0.7000000000000001;-43.5
90;83;28;-0.39999999999999997;-46.5
78;78;25;-0.5499999999999999;-37.0
110;86;44;-0.49999999999999994;-59.0
82;78;20;-0.39999999999999997;-40.0
74;67;10;-0.6;-35.0
118;86;38;-0.3;-64.0
97;87;55;-0.7000000000000001;-51.5
106;86;39;-0.49999999999999994;-57.0
103;85;35;-0.44999999999999996;-55.0
114;83;35;-0.2;-61.5
58;25;1;3.949999999999994;-12.5
107;87;40;-0.3;-57.0
104;86;35;-0.3;-55.0
119;86;48;-0.5499999999999999;-65.0
79;80;35;-0.6;-37.0
87;81;34;-0.7000000000000001;-44.5
111;87;52;-0.6;-60.0
59;53;22;0.2;-13
75;73;6;-0.3;-35.0
94;85;36;-0.5499999999999999;-49.0
80;86;31;-0.15000000000000002;-37.0
83;77;32;-0.8500000000000002;-42.0
91;81;23;-0.15000000000000002;-47.0
98;82;24;-0.15000000000000002;-52.0
112;85;37;-0.44999999999999996;-61.0
60;57;24;0.39999999999999997;-13
76;73;22;-0.6;-35.0
115;84;29;0.2;-62.0
125;85;47;-0.49999999999999994;-68.5
137;82;36;0.1;-75
121;82;30;0.1;-65.5
92;84;34;-0.5499999999999999;-48.0
108;86;40;-0.49999999999999994;-58.0
120;85;40;-0.35;-65.0
95;79;19;-0.04999999999999999;-50.0
88;87;40;-0.6;-44.5
99;86;38;-0.49999999999999994;-52.5
116;86;43;-0.44999999999999996;-63.0
84;83;53;-0.8000000000000002;-41.5
122;85;46;-0.49999999999999994;-67.0
149;80;36;1.3877787807814457e-17;-84.0
129;84;37;-0.15000000000000002;-71.0
133;83;37;-0.05;-73.0
130;85;38;-0.05;-71.5
150;80;41;-0.39999999999999997;-86.0
138;83;37;-0.05;-76.5
126;88;60;-0.6;-69.5
141;83;40;0.0;-78.0
96;86;51;-0.7500000000000001;-51.0
145;81;35;1.3877787807814457e-17;-81.0
123;85;36;-0.2;-67.5
157;78;37;-0.2;-91.0
100;89;61;-0.7000000000000001;-53.0
153;79;48;-0.5499999999999999;-88.0
161;76;40;-0.3;-93.5
124;86;45;-0.35;-67.5
134;83;37;0.05;-73.5
131;84;47;-0.39999999999999997;-72.0
154;78;35;-0.2;-88.5
151;80;38;-0.25;-86.0
127;84;36;0.05000000000000002;-69.0
139;82;46;-0.44999999999999996;-78.0
142;83;40;-0.2;-80.0
158;77;41;-0.35;-92.0
165;75;37;-0.15000000000000002;-97.0
146;82;38;-0.05000000000000002;-82.0
135;83;45;-0.49999999999999994;-75.5
128;85;47;-0.39999999999999997;-70.0
140;83;42;-0.2;-78.0
147;81;43;-0.25;-82.5
162;76;38;-0.25;-95.0
169;73;37;-0.25;-101.0
181;66;33;-0.3;-113
177;68;33;-0.3;-109.0
173;71;33;-0.3;-105.0
132;84;37;0.05000000000000002;-72.0
152;79;42;-0.39999999999999997;-87.0
143;81;45;-0.39999999999999997;-80.0
159;77;38;-0.15000000000000002;-92.0
136;84;43;-0.2;-75.0
155;79;46;-0.39999999999999997;-89.0
166;74;36;-0.10000000000000002;-97.5
144;81;40;-0.25;-80.5
160;80;44;-0.2;-93.5
182;65;29;-0.44999999999999996;-115.0
201;51;21;-0.3;-136.5
163;76;36;0.10000000000000002;-95
148;81;46;-0.39999999999999997;-83.5
170;72;37;-0.39999999999999997;-102.5
178;69;36;-0.35;-110.0
174;71;35;-0.3;-106.0
183;65;33;-0.44999999999999996;-115.5
189;61;29;-0.44999999999999996;-122.0
164;75;37;-0.2;-96.5
185;64;32;-0.35;-117.0
209;40;14;0.49999999999999994;-149.0
184;64;28;-0.49999999999999994;-117.0
179;67;34;-0.39999999999999997;-111.5
193;60;28;0.0;-125.5
197;54;24;-0.5499999999999999;-132.0
156;78;35;-0.10000000000000002;-90.0
202;49;21;-0.25;-137.5
205;44;19;-0.05;-141.0
198;53;24;-0.3;-132.0
167;73;37;-0.25;-99.0
217;21;1;3.899999999999994;-165.0
213;29;11;1.3000000000000005;-154.5
210;36;14;-0.05;-149.5
171;72;36;-0.25;-103.0
175;70;34;-0.2;-107.0
190;61;30;-0.15000000000000002;-122.0
214;26;10;1.800000000000001;-156.0
180;67;32;-0.35;-113.0
186;63;30;-0.3;-118.5
203;47;19;-0.44999999999999996;-140.0
206;42;18;-0.1;-142.0
194;57;25;-0.39999999999999997;-128.0
172;71;38;-0.3;-103.5
211;37;12;0.05000000000000002;-152.0
215;22;8;1.5000000000000007;-158.5
199;52;24;-0.10000000000000002;-133.0
168;72;39;-0.44999999999999996;-100.5
216;25;4;3.5499999999999954;-163.0
212;33;11;0.15000000000000002;-154.0
207;41;16;-0.25;-145.0
191;59;28;-0.44999999999999996;-124.0
204;45;20;-0.25;-139.5
176;70;35;-0.10000000000000002;-108.0
195;57;26;-0.25;-129.0
187;62;29;-0.39999999999999997;-120.0
200;52;21;-0.39999999999999997;-135.0
208;39;16;-0.2;-146.0
192;60;25;-0.15000000000000002;-125.0
196;54;25;-0.6;-130.0
188;61;29;-0.44999999999999996;-121.0
69;201;4;1.5000000000000007;-28.0
70;69;29;-0.7500000000000001;-29.5
63;167;3;1.6000000000000008;-19.0
65;201;3;1.5000000000000007;-23.0
64;66;22;0.7000000000000001;-22.0
71;116;3;-0.9000000000000005;-30.0
72;76;6;-0.35;-31.0
66;69;3;-0.9000000000000005;-24.0
67;163;3;-0.9000000000000005;-25.0
68;71;23;-0.39999999999999997;-27.5
